# NOTE: encode in UTF8 without BOM
# NOTE: 1. 要按照行车方向的顺序 2. dir-0: 东西向或南北向, dir-1: 西东向或北南向
# route_id, route_name, direction, parent_route_id, parent_route_dir, route_type, key_locs
# corridor
20502,纬五中山东路,1,205,1,2,"32.044303 118.760916 60, 32.040947 118.820042 90"

20503,纬五草场门大街,0,205,0,2,"32.044339 118.760637 240, 32.042418 118.720745 290"
20503,纬五草场门大街,1,205,1,2,"32.042272 118.720385 110, 32.044230 118.760712 60"

20601,纬六光华路,0,206,0,2,"32.024637 118.863202 250, 32.026149 118.825799  5"
20601,纬六光华路,1,206,1,2,"32.026149 118.825541 185, 32.024455 118.863460  70"

20602,纬六大光路,0,206,0,2,"32.026659 118.825369 285, 32.035120 118.767476 300, 32.032205 118.764295 190"
20602,纬六大光路,1,206,1,2,"32.031897 118.764759 120, 32.026491 118.825310 80"

20603,纬六水西门大街,0,206,0,2,"32.032307 118.764092 280, 32.036635 118.729168 280"
20603,纬六水西门大街,1,206,1,2,"32.036362 118.729147 100, 32.031983 118.764448 120"

20701,纬七应天大街,0,207,0,2,"32.008753 118.809327 280, 32.007473 118.793892 260"
20701,纬七应天大街,1,207,1,2,"32.007282 118.793517 80, 32.008399 118.811902 100"

20702,纬七内环南线,0,207,0,2,"32.007291 118.791360 270, 32.012008 118.762414 300"
20702,纬七内环南线,1,207,1,2,"32.012590 118.761035 120, 32.007154 118.791623 85"

20703,纬七应天大街高架,0,207,0,2,"32.012890 118.760847 300, 32.031254 118.708498 290"
20703,纬七应天大街高架,1,207,1,2,"32.031108 118.708508 110, 32.013268 118.760000 120"

20801,纬八雨花南路东段,0,208,0,2,"31.994396 118.790353 320, 31.995371 118.769641 300"
20801,纬八雨花南路东段,1,208,1,2,"31.995162 118.769700 110, 31.994347 118.790272 140"

20802,纬八雨花南路西段,0,208,0,2,"31.995521 118.768954 290, 32.000274 118.750605 280"
20802,纬八雨花南路西段,1,208,1,2,"32.000079 118.750970 120, 31.995276 118.769180 110"

20803,纬八梦都大街东段,0,208,0,2,"32.000575 118.749978 290, 32.011403 118.727770 300"
20803,纬八梦都大街东段,1,208,1,2,"32.011198 118.727749 120, 32.000429 118.749806 120"

20804,纬八梦都大街西段,0,208,0,2,"32.011521 118.727524 300, 32.018733 118.707597 290"
20804,纬八梦都大街西段,1,208,1,2,"32.018428 118.707607 110, 32.011371 118.727416 130"

20901,纬九软件大道,0,209,0,2,"31.987602 118.794408 240, 31.984394 118.737109 300"
20901,纬九软件大道,1,209,1,2,"31.983961 118.737420 120, 31.987393 118.794569  60"

20902,纬九河西大街东段,0,209,0,2,"31.984767 118.736631 300, 31.997888 118.716702 300"
20902,纬九河西大街东段,1,209,1,2,"31.997693 118.716654 120, 31.984567 118.736722 120"

20903,纬九河西大街西段,0,209,0,2,"31.998038 118.716498 300, 32.004650 118.702436 280"
20903,纬九河西大街西段,1,209,1,2,"32.004737 118.701814 100, 31.997888 118.716370 120"

#key roads
401,长江大桥,0,0,0,1,"32.096512 118.750234 5, 32.110249 118.747639 330, 32.133042 118.724308 330"
401,长江大桥,1,0,0,1,"32.133010 118.724179 150, 32.119554 118.730043 120, 32.096666 118.750137 170"

402,长江二桥南汉大桥,0,0,0,1,"32.143208 118.845851 330, 32.255142 118.759482 310"
402,长江二桥南汉大桥,1,0,0,1,"32.255478 118.758833 130, 32.142954 118.845690 150"

403,长江三桥,0,0,0,1,"31.949989 118.664811 330, 32.005172 118.584849 330"
403,长江三桥,1,0,0,1,"32.003716 118.585557 150, 31.949648 118.664934 130"

404,长江四桥,0,0,0,1,"32.137131 118.947874 5, 32.144196 118.946358 330, 32.162980 118.939921 0, 32.242411 118.962223 0"
404,长江四桥,1,0,0,1,"32.242252 118.962089 180, 32.188044 118.940457 180, 32.144705 118.945822 130, 32.137185 118.947692 220"

405,长江隧道,0,0,0,1,"32.029228 118.712336 330, 32.030127 118.710691 340, 32.054361 118.671099 290, 32.071241 118.638881 300"
405,长江隧道,1,0,0,1,"32.070950 118.638774 120, 32.053634 118.671700 110, 32.028301 118.713949 120"

406,双龙大道,0,0,0,1,"31.930499 118.816344 0, 31.982723 118.798274 330,31.996563 118.788699 40,32.003078 118.791131 0"
406,双龙大道,1,0,0,1,"32.003396 118.790906 180, 31.997564 118.788127 200, 31.930403 118.816280 190"

407,机场高速,0,0,0,1,"31.929601 118.790244 350,31.995786 118.785056 70"
407,机场高速,1,0,0,1,"31.995927 118.785121 230,31.929628 118.790104 170"

408,绕城高速,0,0,0,1,"31.950095 118.680564  60, 32.137304 118.848154 330"
408,绕城高速,1,0,0,1,"32.135869 118.848326 150, 31.950072 118.680200 240"

409,经一安德门大街,0,101,0,1,"31.968771 118.757791  10, 32.014057 118.771985  30"
409,经一安德门大街,1,101,1,1,"32.014125 118.771802 210, 31.969003 118.757560 190"

410,经二凤台南路,0,102,0,1,"31.973208 118.724107  45, 32.011544 118.758153  60"
410,经二凤台南路,1,102,1,1,"32.012054 118.758421 225, 31.973335 118.724086 225"

411,纬一栖霞大道,0,201,0,1,"32.133672 118.861997 260, 32.119074 118.817119 260"
411,纬一栖霞大道,1,201,1,1,"32.118888 118.817275  80, 32.133463 118.862082  80"

412,纬二玄武大道,0,202,0,1,"32.096824 118.869291 260, 32.081653 118.805776 240"
412,纬二玄武大道,1,202,1,1,"32.080931 118.805487 60, 32.096805 118.869698 80"

413,纬五中山门大街,0,205,0,1,"32.052344 118.894927 260, 32.048121 118.873502 240,32.041047 118.820397 240"
413,纬五中山门大街,1,205,1,1,"32.040956 118.820370 120, 32.037673 118.853012 60, 32.048239 118.873904  60,32.052262 118.894960  80"

414,纬六光华路,0,206,0,1,"32.024637 118.863202 250, 32.026149 118.825799  5"
414,纬六光华路,1,206,1,1,"32.026149 118.825541 185, 32.024455 118.863460  70"
